Directory TotLength ReferenceLength Difference
Ls48.beta0.30.m0.005 1177 655 522
Ls48.beta0.30.m0.01 1330 745 585
Ls48.beta0.30.m0.02 1509 851 658
Ls48.beta0.30.m0.03 1710 967 743
Ls48.beta0.32.m0.005 1335 737 598
Ls48.beta0.32.m0.01 1444 814 630
Ls48.beta0.32.m0.02 1618 912 706
Ls48.beta0.32.m0.03 1838 1035 803
Ls48.beta0.34.m0.005 1484 837 647
Ls48.beta0.34.m0.01 1600 883 717
Ls48.beta0.34.m0.02 1703 971 732
Ls48.beta0.34.m0.03 1931 1099 832
Ls48.beta0.36.m0.005 1706 958 748
Ls48.beta0.36.m0.01 1865 1060 805
Ls48.beta0.36.m0.02 1979 1129 850
Ls48.beta0.38.m0.005 1883 1077 806
Ls48.beta0.40.m0.005 1976 1123 853
Ls48.beta0.42.m0.005 2170 1230 940
Ls48.beta0.44.m0.005 2314 1317 997
Ls48.beta0.46.m0.005 2519 1436 1083
Ls48.beta0.48.m0.005 2712 1544 1168
Ls48.beta0.50.m0.005 2882 1661 1221
Ls48.beta0.52.m0.005 3065 1762 1303
