Directory TotLength ReferenceLength Difference
Ls48.beta0.30.m0.005 5886 3279 2607
Ls48.beta0.30.m0.01 6652 3726 2926
Ls48.beta0.30.m0.02 7547 4256 3291
Ls48.beta0.30.m0.03 8556 4837 3719
Ls48.beta0.32.m0.005 6679 3688 2991
Ls48.beta0.32.m0.01 7224 4074 3150
Ls48.beta0.32.m0.02 8092 4560 3532
Ls48.beta0.32.m0.03 9193 5177 4016
Ls48.beta0.34.m0.005 7421 4189 3232
Ls48.beta0.34.m0.01 8004 4417 3587
Ls48.beta0.34.m0.02 8516 4859 3657
Ls48.beta0.34.m0.03 9656 5495 4161
Ls48.beta0.36.m0.005 8535 4790 3745
Ls48.beta0.36.m0.01 9329 5300 4029
Ls48.beta0.36.m0.02 9896 5645 4251
Ls48.beta0.38.m0.005 9416 5386 4030
Ls48.beta0.40.m0.005 9882 5617 4265
Ls48.beta0.42.m0.005 10853 6152 4701
Ls48.beta0.44.m0.005 11570 6586 4984
Ls48.beta0.46.m0.005 12598 7180 5418
Ls48.beta0.48.m0.005 13563 7724 5839
Ls48.beta0.50.m0.005 14415 8308 6107
Ls48.beta0.52.m0.005 15326 8814 6512
